UDS 속성명,Gmarket/Auction 필드명,API 영역,사용 문서 수,UDS 필요도,설명
사이트상품정보반영 결과,SiteGoodsComment,"상품 API, 스타배송 API",2,✅ 핵심 UDS,
사이트직접입력,"Data>SiteUserInput, SiteUserInput",스타배송 API,3,✅ 핵심 UDS,사이트코드 23(기타/직접입력)일 경우 필수값
사이트코드,Data>SiteId,스타배송 API,2,✅ 핵심 UDS,해당 스타배송 주문번호의 사이트코드 내려감
상미 (소비 ) 기한,Data>Data>ExpireDateDays,스타배송 API,1,✅ 핵심 UDS,판매자가 입력한 해당 SKU 의 상미 ( 소비 ) 기한 내려감
상미(소비)기일 구간코드,ExpireDaysLimitCode,스타배송 API,1,✅ 핵심 UDS,카테고리별 소비기한에 따른 유효한 코드만 입력 가능 카테고리별 소비 기한 조회 API를 통해 입력 가능한 값 조회 가능 -1: 자동입력(해당 카테고리의 최소상미기일 구간으로 자동 등록됨) 0: 미관리 1~:상미기일구간코드
상미(소비)기한,ExpireDateDays,스타배송 API,1,✅ 핵심 UDS,상미( 소비 )기일구간 '필수' 카테고리의 경우 필수입력 상미기일( 소비 기한) API에서 조회된 소비기한 코드 숫자 입력 카테고리 따른 소비 기한(상미기일) 유효성 체크 -1 : 자동입력 0 : 미관리 상미기일( 소비 기한) 제조일로부터 N일 입력 최대 9999일까지 입력 가능
상세검색,SearchString,"Other, 스타배송 API",2,✅ 핵심 UDS,"검색조건 > WAREHOUSE_NO / SKU_ID 선택 시 필수 이 때, 날짜검색조건 무시"
상세내용,detail,상품 API,1,✅ 핵심 UDS,"- 외부 링크, 일부 스크립트 및 태그는 자동으로 삭제될 수 있습니다. - 이미지 권장크기 : 가로 860px"
상세취소사유,data>ReasonDetail,클레임 API,1,✅ 핵심 UDS,
상품 등록일,items>createdDate,상품 API,1,✅ 핵심 UDS,
상품 브랜드 ID,items>productBrand>id,상품 API,1,✅ 핵심 UDS,
상품 브랜드명,items>productBrand>name,상품 API,1,✅ 핵심 UDS,
상품 상태,itemStatus,클레임 API,1,✅ 핵심 UDS,OP : 개봉후 미사용 NP : 미개봉 UP : 개봉 후 사용
상품 수정일,items>updatedDate,상품 API,1,✅ 핵심 UDS,
상품관리코드,Data>StockNo,스타배송 API,1,✅ 핵심 UDS,재고현황 대상 제품StockNo 내려감
상품관리코드 ( 제품 StockNo),Data>Data>StockNo,스타배송 API,1,✅ 핵심 UDS,"최대 100byte 로 , 판매자가 입력한 제품 StockNo 내려감 EFM 의 "" 제품 StockNo"" 항목 1P 등 SKU 와 상품이 1:1 매칭되는 경우 상품을 관리하기 코드로 사용가능 SKU 등록 / 수정 시 , 중복체크 대상"
상품군 코드,officialNoticeNo,Other,1,✅ 핵심 UDS,1 ~ 41 내 조회 가능
상품군명,officialNoticeName,Other,1,✅ 핵심 UDS,
상품금액 ( 판매가 ),ORDER_INFO>PRICE,서비스 API,2,✅ 핵심 UDS,할인금액 미포함 **.0000 소수점 이하 .0000 포함하여 전달하고 있으니 가격 체크시에는 삭제하신 후 체크 필요
상품기본이미지,"imageModel>BasicImage>URL, itemAddtionalInfo>images>basicImgURL","Other, 상품 API, 스타배송 API",3,✅ 핵심 UDS,"최소 600x600 / 권장 1000x1000 http:// or https:// 형식의 완전한 이미지 URL이어야 하고, 만약 이미지가 없거나 만료된 이미지일 경우 이미지 수정 실패됨"
상품당 항목개수 제한,limitCount,Other,1,✅ 핵심 UDS,상품당 입력 가능 항목수
상품등록여부,"Data>Data>GoodsRegYn, GoodsRegYn",스타배송 API,1,✅ 핵심 UDS,ALL : 전체 Y : SKU매칭상품 등록되어있음 N : SKU매칭상품 미등록
상품명,"Data>GoodsName, GoodsName, data>GoodsName, data>RequestOrders>GoodsName, goodsName, items>goodsName","상품 API, 스타배송 API, 주문/배송 API",7,✅ 핵심 UDS,판매자가 입력한 상품명 내려감
상품명 수정 가능 여부,isEditableGoodsName,상품 API,1,✅ 핵심 UDS,"true : 수정 가능 false : 수정 불가능 ※ 조회시 확인 가능, false 인 경우 상품명 수정해서 입력시 처리되지 않으며 별도 에러 처리 없음"
상품별배송비 조건,itemAddtionalInfo>shipping>policy>each>details>Condition,상품 API,1,✅ 핵심 UDS,수량별차등인 경우 5단계까지 설정 가능
상품별배송비 타입,"itemAddtionalInfo>shipping>policy>each, itemAddtionalInfo>shipping>policy>each>feeType","상품 API, 스타배송 API",2,✅ 핵심 UDS,1 : 무료 2 : 유료 3 : 조건부무료 4 : 수량별차등
상품별배송비금액,itemAddtionalInfo>shipping>policy>each>fee,상품 API,1,✅ 핵심 UDS,
상품별배송비조건부금액,itemAddtionalInfo>shipping>policy>each>details>FeeAmnt,상품 API,1,✅ 핵심 UDS,수량별 차등 경우 양사 등록 or G마켓 단일 등록 시 배송비할증 설정만 가능 카테고리별 최대 배송비까지만 입력 가능
상품별배송비지불방법,itemAddtionalInfo>shipping>policy>each>feePayType,상품 API,1,✅ 핵심 UDS,"1 : 선결제/착불 모두 가능 2 : 선결제만 가능 3 : 착불만 가능(옥션만 등록 시 설정 가능, 동시등록 또는 지마켓만 등록 시 불가)"
상품상세정보 html,itemAddtionalInfo>descriptions>kor>html,"상품 API, 스타배송 API",2,✅ 핵심 UDS,"ESM+ 가이드 ( 참고 ) iframe, Script, 및 max-width 등은 사용 불가"
상품상세정보 코드,itemAddtionalInfo>descriptions>kor>contentId,"상품 API, 스타배송 API",2,✅ 핵심 UDS,상품상세정보 타입 1 일 경우 필수 ( 추후제공 )
상품상세정보 타입,itemAddtionalInfo>descriptions>kor>type,"상품 API, 스타배송 API",2,✅ 핵심 UDS,1 : contentID (추후제공) 2 : html
상품상태,"GoodsStatus, itemAddtionalInfo>goodsStatus","상품 API, 클레임 API",2,✅ 핵심 UDS,0 : 알수없음 1 : 포장 개봉 미사용 2 : 포장 개봉 사용 3 : 미개봉 * 구매자가 표시한 상품상태 * 현재는 반품 신청 시 선택하는 부분은 없으나 반품 사유 or CS와 협의된 상품 상태 값 내려감
상품수,policies>goodsCount,스타배송 API,1,✅ 핵심 UDS,조회 시 내려가는 정보
상품식별코드,items>catalog>epinCode,상품 API,1,✅ 핵심 UDS,
상품식별코드명,items>catalog>epinName,상품 API,1,✅ 핵심 UDS,
상품정보고시 값,itemAddtionalInfo>officialNotice>details>value,"상품 API, 스타배송 API",2,✅ 핵심 UDS,상품정보고시 값
상품정보고시 상품군코드,itemAddtionalInfo>officialNotice>officialNoticeNo,"상품 API, 스타배송 API",2,✅ 핵심 UDS,아래 url 내 조회 API 로 확인 https://etapi.gmarket.com/161
상품정보고시 추가입력여부,itemAddtionalInfo>officialNotice>isExtraMark,스타배송 API,1,✅ 핵심 UDS,true : 추가입력고시 false : 추가입력 없음
상품정보고시 항목코드,itemAddtionalInfo>officialNotice>details>officialNoticeItemelementCode,"상품 API, 스타배송 API",2,✅ 핵심 UDS,아래 url 내 조회 API 로 확인 https://etapi.gmarket.com/161
상품종류 (3PL),itemBasicInfo>is3PL,스타배송 API,1,✅ 핵심 UDS,상품등록을 위한 상품종류 선택 true: 풀필먼트 스타배송 상품 false: 일반상품
상품추가이미지 1,itemAddtionalInfo>images>addtionalImg1URL,스타배송 API,1,✅ 핵심 UDS,
상품추가이미지 2,itemAddtionalInfo>images>addtionalImg2URL,스타배송 API,1,✅ 핵심 UDS,
상품추가이미지 3,itemAddtionalInfo>images>addtionalImg3URL,스타배송 API,1,✅ 핵심 UDS,
상품추가이미지1,imageModel>AdditionalImage1>URL,Other,1,✅ 핵심 UDS,최소 600x600 / 권장 1000x1000
상품추가이미지10,imageModel>AdditionalImage10>URL,Other,1,✅ 핵심 UDS,최소 600x600 / 권장 1000x1000
상품추가이미지11,imageModel>AdditionalImage11>URL,Other,1,✅ 핵심 UDS,최소 600x600 / 권장 1000x1000
상품추가이미지12,imageModel>AdditionalImage12>URL,Other,1,✅ 핵심 UDS,최소 600x600 / 권장 1000x1000
상품추가이미지13,imageModel>AdditionalImage13>URL,Other,1,✅ 핵심 UDS,최소 600x600 / 권장 1000x1000
상품추가이미지14,imageModel>AdditionalImage14>URL,Other,1,✅ 핵심 UDS,최소 600x600 / 권장 1000x1000
상품추가이미지1~14,itemAddtionalInfo>images>addtionalImg1URL,상품 API,1,✅ 핵심 UDS,추가 이미지는 1 ~ 14 까지 설정 가능 옥션 경우 동일이미지 중복 사용 불가
상품추가이미지2,imageModel>AdditionalImage2,Other,1,✅ 핵심 UDS,최소 600x600 / 권장 1000x1000
상품추가이미지3,imageModel>AdditionalImage3>URL,Other,1,✅ 핵심 UDS,최소 600x600 / 권장 1000x1000
상품추가이미지4,imageModel>AdditionalImage4>URL,Other,1,✅ 핵심 UDS,최소 600x600 / 권장 1000x1000
상품추가이미지5,imageModel>AdditionalImage,Other,1,✅ 핵심 UDS,최소 600x600 / 권장 1000x1000
상품추가이미지6,imageModel>AdditionalImage,Other,1,✅ 핵심 UDS,최소 600x600 / 권장 1000x1000
상품추가이미지7,imageModel>AdditionalImage,Other,1,✅ 핵심 UDS,최소 600x600 / 권장 1000x1000
상품추가이미지8,imageModel>AdditionalImage,Other,1,✅ 핵심 UDS,최소 600x600 / 권장 1000x1000
상품추가이미지9,imageModel>AdditionalImage,Other,1,✅ 핵심 UDS,최소 600x600 / 권장 1000x1000
색상,Color,스타배송 API,1,✅ 핵심 UDS,SKU의 색상 입력
서비스 이용료,data>ServiceFee,주문/배송 API,1,✅ 핵심 UDS,서비스이용료 금액
서비스이용료,Data>ServiceFee,정산조회 API,1,✅ 핵심 UDS,수수료 - 사이트즉시할인
선물수락기한,data>giftConfirmDueDate,주문/배송 API,1,✅ 핵심 UDS,선물 수락 기한 (YYYY-MM-DD hh:mm:ss) * 기한 종료 후 주문 취소됨
선물수락일,data>giftConfirmDate,주문/배송 API,1,✅ 핵심 UDS,선물수락 완료된 날짜 (YYYY-MM-DD hh:mm:ss) * giftOrderStatus : 1(선물수락대기) 경우 null 확인 * giftOrderStatus : 2(선물수락완료) 경우 확인 가능
선물하기 상태별 조회구분,giftOrderStatus,주문/배송 API,1,✅ 핵심 UDS,"1 : 선물수락대기 2 : 선물수락완료 * 미입력 / skip 시 전체 주문 조회, G 마켓만 가능"
선물하기 상품 여부,itemAddtionalInfo>isGift,"상품 API, 스타배송 API",2,✅ 핵심 UDS,선물하기 상품 여부 선택 true : 선물하기 가능 false : 선물하기 불가능 * 미입력/skip 시 default = true 로 등록됨
선물하기 여부,"isGift, items>isGift",상품 API,1,✅ 핵심 UDS,지마켓 경우만 조회 가능
선물하기 주문 구분,"IsGiftOrder, data>IsGiftOrder, data>isGiftOrder, isGiftOrder","주문/배송 API, 클레임 API",5,✅ 핵심 UDS,Y : 선물하기 주문 N : 일반 주문 null : 모든 주문 * 미입력 / skip 시 전체 취소 모두 조회 * G마켓만 구분 조회 가능
선물하기 주문 상태,data>giftOrderStatus,주문/배송 API,1,✅ 핵심 UDS,0 : 일반주문 1 : 선물수락대기 2 : 선물수락완료
선불/착불여부,"Data>DeliveryPayType, DeliveryPayType",스타배송 API,2,✅ 핵심 UDS,회수될 택배사 선불로 반품배송비 결제된 건인지 착불요청된 건인지 구분코드 입력 Y : 선불 N : 착불
선택항목코드,details>recommendedOptValueNo,스타배송 API,1,✅ 핵심 UDS,추천옵션별 선택항목코드 조회 시 내려가는 정보 사용할 선택항목명의 코드를 옵션 등록 시 입력 * 텍스트형일 경우 내려가지 않음
"선택형(2, 3개 조합) 자율 옵션 사용 가능 여부",customOptionUseYn,Other,1,✅ 핵심 UDS,Y : 사용 가능 N : 사용 불가
설정상품 여부,hasGoods,스타배송 API,1,✅ 핵심 UDS,출하지 등록된 상품 여부 조회시 내려가는 정보
성공건수,"Data>SuccessCount, SuccessCount","Other, 스타배송 API",5,✅ 핵심 UDS,출고요청 성공한 건수 실제 출고처리 성공여부 및 이후 배송처리 현황은 외부주문 조회 API를 통해 확인 가능
성인상품여부,itemAddtionalInfo>isAdultProduct,스타배송 API,1,✅ 핵심 UDS,"성인인증을 하기 전까지 상품이미지 비노출 처리됨 true: 성인상품 , false : 일반상품 *ESM> 청소년구매불가 상품이면 성인상품여부 무조건 true 로 연동"
세부상태변경시간,StatusChangeDate,주문/배송 API,1,✅ 핵심 UDS,
소분류카테고리명,Data>Data>CategoryName3,"Other, 스타배송 API",2,✅ 핵심 UDS,SKU 등록된 물류 소분류카테고리명 내려감
송금번호,"Data>TransferNumber, TransferNumber",정산조회 API,3,✅ 핵심 UDS,조회하고자 하는 송금번호 입력 일자로 조회시 제외 또는 null 입력 후 조회
송금액(외화),Data>TransferAmountForeign,정산조회 API,1,✅ 핵심 UDS,
송금액(원화),Data>TransferAmountKr,정산조회 API,1,✅ 핵심 UDS,
송금일,Data>TransferDate,정산조회 API,1,✅ 핵심 UDS,
송금일자,Data>RemitDate,정산조회 API,1,✅ 핵심 UDS,
송장번호,"Data>InvoiceNo, InvoiceNo, data>NoSongjang","Other, 스타배송 API, 주문/배송 API, 클레임 API",16,✅ 핵심 UDS,ClaimCancelType > 1 일 경우 필수
송장출력용 상품명,Data>InvoiceGoodsName,스타배송 API,1,✅ 핵심 UDS,판매자가 입력한 송장출력용 상품명 내려감
송장출력용상품명,InvoiceGoodsName,스타배송 API,1,✅ 핵심 UDS,송장출력용 상품명을 판매자가 등록하면 해당 상품명으로 송장출력됨 성인용품 등 상품명 변경하여 출고되어야 하는 상품에 사용 Goods_Name에 등록된 상품명은 송장출력되지 않음
수거 송장 번호,invoiceNo,클레임 API,1,✅ 핵심 UDS,
수거 송장번호,Data>ClaimInvoiceNo,스타배송 API,1,✅ 핵심 UDS,수거한 송장번호 내려감
수거 택배사 코드,pickupCompCode,클레임 API,1,✅ 핵심 UDS,
수거 택배사코드,Data>DeliveryCompCode,스타배송 API,1,✅ 핵심 UDS,수거한 택배사코드 내려감
수거/배송 완료일,PickupCompleteDate,클레임 API,2,✅ 핵심 UDS,배송완료된 일자 YYYY-MM-DD 형식
수거일시,Data>WarehouseInDate,스타배송 API,1,✅ 핵심 UDS,스타배송 센터에 수거 도착한 일시
수거지우편번호,"PickupInfo>SenderInfo>ZipCode, data>PickupInfo>SenderInfo>ZipCode",클레임 API,2,✅ 핵심 UDS,5자리/6자리 모두 내려갈 수 있음
수거지주소1,"PickupInfo>SenderInfo>AddressFront, data>PickupInfo>SenderInfo>AddressFront",클레임 API,2,✅ 핵심 UDS,
수거지주소1+2,"PickupInfo>SenderInfo>Address, data>PickupInfo>SenderInfo>Address",클레임 API,2,✅ 핵심 UDS,
수거지주소2,"PickupInfo>SenderInfo>AddressBack, data>PickupInfo>SenderInfo>AddressBack",클레임 API,2,✅ 핵심 UDS,고객이 직접 입력한 수거지주소 고객이 작성하지 않을 경우 안내려갈 수 있음
수령인/발송인일반전화번호,"PickupInfo>SenderInfo>TelNo, data>PickupInfo>SenderInfo>TelNo",클레임 API,2,✅ 핵심 UDS,휴대폰 번호 고객이 입력했을 경우 휴대폰 번호도 내려갈 수 있음
수령인/발송인휴대폰번호,"PickupInfo>SenderInfo>HpNo, data>PickupInfo>SenderInfo>HpNo",클레임 API,2,✅ 핵심 UDS,일반전화번호 고객이 입력했을 경우 일반전화번호도 내려갈 수 있음
수령인기본주소,"Data>RcverInfoAd1, RcverInfoAd1",스타배송 API,3,✅ 핵심 UDS,"66byte까지 입력 우편번호 입력 시, 자동생성되는 Address1 입력"
수령인명,"Data>RcverInfoNa, RcverInfoNa, data>ReceiverName, data>RequestOrders>ReceiverName","스타배송 API, 주문/배송 API",5,✅ 핵심 UDS,외부채널의 배송수령인명 입력 최대 50byte까지 입력
수령인명/발송인명,"PickupInfo>SenderInfo>Name, data>PickupInfo>SenderInfo>Name",클레임 API,2,✅ 핵심 UDS,
수령인배송메모,"Data>Memo, Memo",스타배송 API,3,✅ 핵심 UDS,외부사이트에서 고객이 입력한 배송기재사항 입력
수령인상세주소,"Data>RcverInfoAd2, RcverInfoAd2",스타배송 API,3,✅ 핵심 UDS,"66byte까지 입력 고객 직접입력한 상세주소 입력 아래 특수기호 및 키보드 + 한자 기호는 입력 불가 ! $ % ^ * \ [ ] "" = ; ? < > ` { } | ※ 빈값 입력 가능, 단 null 은 불가함"
수령인우편번호,Data>ZipCode,스타배송 API,2,✅ 핵심 UDS,판매자가 입력한 수령인우편번호 내려감
수령인일반전화번호,"Data>RcverInfoHt, RcverInfoHt",스타배송 API,3,✅ 핵심 UDS,"하이픈 포함하여 입력 ""2자리/3자리 - 3자리/4자리 - 4자리"" 로 자릿수 체크"
수령인전화번호,"data>RequestOrders>TelNo, data>TelNo",주문/배송 API,2,✅ 핵심 UDS,전화번호 없는 경우에도 주문 생성되도록 고려 필요 1) 고객이 전화번호 입력하지 않을 경우 내려가지 않음 2) 고객이 안심번호로 설정시 부과될 때까지 내려가지 않음 3) 약 5분 정도 소요되며 5분 후 재조회 시 안심번호 받을 수 있음 * G마켓은 결제 후 안심번호 채번되므로 무통장입금 주문시 고객의 연락처는 null로 내려감
수령인주소1,"data>DelFrontAddress, data>RequestOrders>DelFrontAddress",주문/배송 API,2,✅ 핵심 UDS,우편번호 기준 주소 * giftOrderStatus : 1(선물수락대기) 경우 null 확인 * giftOrderStatus : 2(선물수락완료) 경우 확인 가능
수령인주소1+2,"data>DelFullAddress, data>RequestOrders>DelFullAddress",주문/배송 API,2,✅ 핵심 UDS,* giftOrderStatus : 1(선물수락대기) 경우 null 확인 * giftOrderStatus : 2(선물수락완료) 경우 확인 가능
수령인주소2,"data>DelBackAddress, data>RequestOrders>DelBackAddress",주문/배송 API,2,✅ 핵심 UDS,상세주소(고객입력) * giftOrderStatus : 1(선물수락대기) 경우 null 확인 * giftOrderStatus : 2(선물수락완료) 경우 확인 가능
수령인휴대폰번호,"Data>RcverInfoCp, RcverInfoCp, data>HpNo, data>RequestOrders>HpNo","스타배송 API, 주문/배송 API",5,✅ 핵심 UDS,전화번호 없는 경우에도 주문 생성되도록 고려 필요 1) 고객이 전화번호 입력하지 않을 경우 내려가지 않음 2) 고객이 안심번호로 설정시 부과될 때까지 내려가지 않음 3) 약 5분 정도 소요되며 5분 후 재조회 시 안심번호 받을 수 있음 * G마켓은 결제 후 안심번호 채번되므로 무통장입금 주문시 고객의 연락처는 null로 내려감
수용가능한 SKU 수,Data>ParcelCapacity>SkuQty,스타배송 API,1,✅ 핵심 UDS,0 : 등록마감일 경우 N : 수용가능한 숫자
수용가능한 SKU당 PCS수,Data>CargoCapacity>SkuPerPcsQty,스타배송 API,1,✅ 핵심 UDS,0 : 등록마감일 경우 N : 수용가능한 숫자
수용가능한 셀러 수,Data>ParcelCapacity>SellerQty,"Other, 스타배송 API",2,✅ 핵심 UDS,0 : 등록마감일 경우 N : 수용가능한 숫자
수용가능한 화물입고 PCS 수,Data>CargoCapacity>PcsQty,스타배송 API,1,✅ 핵심 UDS,0 : 등록마감일 경우 N : 수용가능한 숫자
수용가능한 화물입고 SKU 수,Data>CargoCapacity>SkuQty,스타배송 API,1,✅ 핵심 UDS,0 : 등록마감일 경우 N : 수용가능한 숫자
수정 가능 여부,isEditable,상품 API,1,✅ 핵심 UDS,Y : 사용 가능 N : 사용 불가
수정 시작일,updatedDate>from,상품 API,1,✅ 핵심 UDS,YYYY-MM-DD 형태로 입력
수정 종료일,updatedDate>to,상품 API,1,✅ 핵심 UDS,YYYY-MM-DD 형태로 입력
수정일,updateDate,상품 API,1,✅ 핵심 UDS,조회시 내려가는 항목
수정일시,Data>Data>UpdDate,스타배송 API,1,✅ 핵심 UDS,YYYY-MM-DD hh:mm:ss 형식
수취인명,ReceiverName,주문/배송 API,2,✅ 핵심 UDS,JSON sample key
순번,items>no,상품 API,1,✅ 핵심 UDS,
스마일주문번호,"Data>SmileOrderNo, SmileOrderNo",스타배송 API,7,✅ 핵심 UDS,반품/교환입고요청 하려는 대상 스마일주문번호 입력
스타배송 도착보장일,data>ArrivalScheduledDate,주문/배송 API,1,✅ 핵심 UDS,스타배송 주문에 대한 도착보장일
스타배송주문번호,Data>SmileOrderNo,스타배송 API,1,✅ 핵심 UDS,스타배송 주문번호 내려감
실패건수,"Data>FailCount, FailCount","Other, 스타배송 API",5,✅ 핵심 UDS,"출고요청 실패한 건수 출고요청 실패할 경우 자동으로 출고취소 되므로, 별도로 출고취소 API를 호출하지 않아도 됨"
에러상세,Details,정산조회 API,2,✅ 핵심 UDS,에러 발생 시 상세 사유
영문상품명,itemBasicInfo>goodsName>eng,"상품 API, 스타배송 API",2,✅ 핵심 UDS,"다국어 상품명은 검색용 , 프로모션용 상품명 구분없이 100byte 까지 입력 가능"
예약설치 모델코드,data>InstallModelCode,주문/배송 API,1,✅ 핵심 UDS,예약설치상품 모델 코드
예약설치 상품 모델코드,itemAddtionalInfo>Install>InstallModelCode,"상품 API, 스타배송 API",2,✅ 핵심 UDS,"설치예약 상품 여부 true 일 경우 필수 * 설치예약상품 모델 코드가 없을 경우 , 판매자 관리코드 ( managedCode ) 와 동일 값으로 입력"
예약설치 상품 여부,"itemAddtionalInfo>Install>InstallMakerId, itemAddtionalInfo>Install>IsInstall","상품 API, 스타배송 API",2,✅ 핵심 UDS,"설치예약 상품 여부 선택 true: 설치예약 상품 f alse: 설치예약 상품 아님 * 예약설치 상품 권한 있을경우에만 설정 가능 * 상품등록시 해당 항목 미입력/skip 시, default IsInstall: false 로 등록됨"
예약설치 상품 제조사코드,"itemAddtionalInfo>Install>InstallMakerId, itemAddtionalInfo>Install>InstallModelCode","상품 API, 스타배송 API",2,✅ 핵심 UDS,설치예약 상품 여부 true 일 경우 필수 LG: 15405 삼성 : 1897
예약설치 주문 여부,data>IsInstallOrder,주문/배송 API,1,✅ 핵심 UDS,Y : 예약설치 주문 N : 예약설치 주문 아님
예약설치일,data>InstallDate,주문/배송 API,1,✅ 핵심 UDS,"고객이 선택한 예약설치일 정보가 해당 항목으로 내려감 YYYY-MM-DDThh:mm:ss:ss형태 * 예약설치 주문이나, 예약설치일 정보가 없는 경우 null로 내려감 * 예약설치일자 없는 경우는 아래로, 이 경우 해피콜로 고객과 직접 커뮤니케이션한 날짜로 예약설치일을 지정해야함 1. 선물 주문일 때 2. 고객이 설치 예약 일을 30일 이후로 지정하고 싶을 때 3. 무통장 주문일 때 4. CAPA 초과 등으로 가능한 설치 예약 일을 불러오지 못했을 때"
옥션,iac,"Other, 상품 API, 스타배송 API",12,✅ 핵심 UDS,옥션에서 판매될 금액 입력(십억이상 입력 불가) 10원단위로 등록
옥션 1.0 상품번호,siteGoodsNo>iac,상품 API,1,✅ 핵심 UDS,- 전환 API 사용시 해당 Entity 추가 - 전환하는 옥션 1.0 상품번호 입력 - 1개의 상품번호만 입력하여 전환 가능 - 전환시 마스터번호 신규 생성 및 1.0 사이트 상품번호 그대로 유지
옥션 그룹번호,items>groupNo>iac,상품 API,1,✅ 핵심 UDS,
옥션 빅스마일데이 참여 여부,isEventGoods>iac,상품 API,1,✅ 핵심 UDS,
옥션 상품번호,items>siteGoodsNo>iac,상품 API,1,✅ 핵심 UDS,
옥션 예약판매 (예약 배송일),itemAddtionalInfo>preSaleShippingDate,상품 API,1,✅ 핵심 UDS,"- 옥션만 설정 가능 - 등록시 설정 가능, 수정시 설정 및 수정 불가 - 발송정책 당일발송, 순차발송 경우 설정 가능 - 등록일 이후 5일 ~ 1년 이내 설정이 가능"
옥션 재고,"itemBasicInfo>Stock>Iac, stock>iac",상품 API,2,✅ 핵심 UDS,"G마켓 판매 재고 입력 1 ~ 99,999 내 입력 가능"
옥션 재고수량,"ItemBasicInfo>stock>iac, itemAddtionalInfo>stock>Iac, itemBasicInfo>Stock>iac, items>stock>iac","상품 API, 스타배송 API",5,✅ 핵심 UDS,"옥션에서 판매할 재고 입력 1~99999까지 입력 가능함 * 옵션 등록 시 옵션재고관리(true)로 선택하면, 본판매수량은 입력해도 무시되고 옵션의 합산 재고로 산정됨"
옥션 최저가,lowestPrice>iac,상품 API,1,✅ 핵심 UDS,빅스마일데이 참여 기준가
옥션 최저가 여부,isLowestPrice>iac,상품 API,1,✅ 핵심 UDS,(추후 제공 예정)
옥션 추가구성 재고 수량,itemAddtionalInfo>addonService>addonServiceList>qtyInfo>qty>iac,상품 API,1,✅ 핵심 UDS,
옥션 카테고리명,items>category>site>iac>catName,상품 API,1,✅ 핵심 UDS,
옥션 카테고리코드,items>category>site>iac>catCode,상품 API,1,✅ 핵심 UDS,
옥션 판매가,items>price>iac,상품 API,1,✅ 핵심 UDS,
옥션 판매가격,"ItemBasicInfo>price>iac, itemAddtionalInfo>price>Iac, itemBasicInfo>Price>Iac, itemBasicInfo>Price>iac","상품 API, 스타배송 API",4,✅ 핵심 UDS,"옥션에서 판매될 금액 입력 ( 십억이상 입력 불가 ) 10 원단위로 등록 판매자할인 등록 시 , 판매가격 기준으로 할인 적용됨"
옥션 판매기간,"ItemBasicInfo>sellingPeriod>iac, itemAddtionalInfo>sellingPeriod>Iac, itemBasicInfo>SellingPeriod>Iac, itemBasicInfo>SellingPeriod>iac","상품 API, 스타배송 API",4,✅ 핵심 UDS,"옥션에서 판매할 기간 입력 기간 만료시 판매중지되고 상품 수정시 연장 필요 아래 기간 호출 시 호출 시점부터 기간만큼 연장 입력 가능 기간 : -1 (무제한), 0, 15, 30, 60, 90, 365 * 수정(PUT) 시 판매기간을 0으로 입력하면 기존 판매기간 유지 * 조회(GET) 시 판매종료일 조회 (YYYYMMDD) * ESM+ 판매기간 노출 (Beta) 상품 조회/수정 : 설정안함 상품관리2.0 : 9999-12-31 (365일+)"
옥션 판매상태,"IsSell>iac, items>sellStatus>iac","상품 API, 스타배송 API",2,✅ 핵심 UDS,01 : 등록 대기 11 : 판매 중 21 : 판매 중지 22 : 직권 중지 31 : SKU 품절
옥션 판매상태 변경,isSell>iac,상품 API,1,✅ 핵심 UDS,true : 판매가능 상태로 전환 false : 판매중지 상태로 전환 * 판매중지 상태로 1개월 유지하면 상품삭제 * 판매중지 상태로 정보 호출 시 반영되지 않음
옥션 판매여부,isSell>iac,상품 API,1,✅ 핵심 UDS,조회 시 내려가는 정보
옥션 판매자ID,items>siteSellerId>iac,상품 API,1,✅ 핵심 UDS,
옥션 판매자할인 금액(률),items>sellerDiscount>iac>discountAmt,상품 API,1,✅ 핵심 UDS,
옥션 판매자할인 타입,items>sellerDiscount>iac>type,상품 API,1,✅ 핵심 UDS,1 : 정액 2 : 정률
옥션 판매중지일,items>sellStopDate>iac,상품 API,1,✅ 핵심 UDS,
옥션 프로모션명,items>prmtGoodsName>iac,상품 API,1,✅ 핵심 UDS,
옥션메시지,siteDetail>iac>SiteGoodsComment,상품 API,1,✅ 핵심 UDS,마스터 상품 기준으로 각 Site 에 등록된 상품번호를 조회 한 정보
옥션상품번호,siteDetail>iac>SiteGoodsNo,상품 API,1,✅ 핵심 UDS,마스터 상품 기준으로 각 Site 에 등록된 상품번호를 조회 한 정보
옵션 사용 여부,"items>useOption, optionUseYn","Other, 상품 API",2,✅ 핵심 UDS,Y : 사용 가능 N : 사용 불가
옵션 사이트별 설정 여부,"inputType, itemAddtionalInfo>recommendedOpts>inputType","Other, 상품 API",2,✅ 핵심 UDS,0 : 공통 1 : 사이트별
옵션 이미지 url,independent>details>imageUrl,Other,1,✅ 핵심 UDS,"사용하지 않음, 입력 불가"
옵션 재고 수량,STOCK_REMAIN_INFO>ORDER_OPTION>OPTION_INFO>REMAIN_YN,서비스 API,1,✅ 핵심 UDS,
옵션 타입 (ESM 상 주문옵션 ),itemAddtionalInfo>orderOpts>type,스타배송 API,1,✅ 핵심 UDS,주문옵션 사용여부 0: 옵션미사용 * 3PL 상품은 주문옵션 사용 불가하여 0 으로 입력
