UDS 속성명,Naver 필드명,API 영역,사용 문서 수,UDS 필요도,설명
판매 종료 일시 (string,saleEndDate,"상품, 상품 목록, 상품 일괄 수정",10,✅ 핵심 UDS,saleEndDate 판매 종료 일시 (string<date-time>) 매 시각 59분으로만 설정 가능합니다. 'yyyy-MM-dd'T'HH:mm[:ss][.SSS]XXX' 형식으로 입력합니다.
판매가 (integer,salePrice,상품 목록,1,✅ 핵심 UDS,salePrice 판매가 (integer<int64>) REQUIRED Possible values: <= 999999990
판매가 단위 타입 (string) REQUIRED PERCE,productSalePriceChangerUnitType,상품 일괄 수정,1,✅ 핵심 UDS,"productSalePriceChangerUnitType 판매가 단위 타입 (string) REQUIRED PERCENT, WON만 입력 가능합니다. PERCENT(정율), WON(정액)"
판매가 변경 사항 (object) 판매가 변경 사항 valu,productSalePrice,상품 일괄 수정,1,✅ 핵심 UDS,"productSalePrice 판매가 변경 사항 (object) 판매가 변경 사항 value 변경 금액 (integer<int32>) REQUIRED productSalePriceChangerType 판매가 변경 타입 (string) REQUIRED Possible values: [UP, DOWN, TO] productSalePriceChangerUnitType 판매가 단위 타입 (string) REQUIRED PERCENT, WON만 입력 가능합니다. PERCENT(정율), WON(정액)"
판매가 변경 타입 (string) REQUIRED Possi,productSalePriceChangerType,상품 일괄 수정,1,✅ 핵심 UDS,"productSalePriceChangerType 판매가 변경 타입 (string) REQUIRED Possible values: [UP, DOWN, TO]"
판매가 정보 (object) 판매가 정보 salePrice,productSalePrice,상품,2,✅ 핵심 UDS,productSalePrice 판매가 정보 (object) 판매가 정보 salePrice 상품 판매 가격 (integer<int32>) REQUIRED
판매자 계정 UID,accountUid,판매자 인증 JWE 해석,1,✅ 핵심 UDS,accountUid string 판매자 계정 UID
판매자 공지사항 번호 (integer,sellerNoticeId,상품 공지사항 적용,1,✅ 핵심 UDS,sellerNoticeId 판매자 공지사항 번호 (integer<int64>)
판매자 관리코드,sellerManagementCode,상품 목록,1,✅ 핵심 UDS,sellerManagementCode 판매자 관리 코드 (string)
판매자 기본 할인 정책 (object) mobileDisco,immediateDiscountPolicy,"상품, 상품 일괄 수정",3,✅ 핵심 UDS,immediateDiscountPolicy 판매자 기본 할인 정책 (object) mobileDiscountMethod로 설정한 값은 무시됩니다. 추후 오류 응답이 반환될 수 있으므로 discountMethod를 사용하세요. discountMethod 할인 혜택 (object)
판매자 답변 내용(여러 개면 최초 답변을 반환) (strin,answer,상품 문의,2,✅ 핵심 UDS,answer 판매자 답변 내용(여러 개면 최초 답변을 반환) (string)
판매자 답변 여부 (boolean),answered,상품 문의,2,✅ 핵심 UDS,answered 판매자 답변 여부 (boolean)
판매자 등급,grade,판매자,1,✅ 핵심 UDS,grade string 판매자 등급
판매자 등급 Possible values,actionGrade,판매자 인증 JWE 해석,1,✅ 핵심 UDS,"actionGrade string 판매자 등급 Possible values: [ZERO, FIRST, SECOND, THIRD, FOURTH, FIFTH]"
판매자 부담 무이자 할부 수수료 (number) NULLAB,freeInstallmentCommissionAmount,정산 내역,1,✅ 핵심 UDS,freeInstallmentCommissionAmount 판매자 부담 무이자 할부 수수료 (number) NULLABLE 판매자 부담 무이자 할부 수수료
판매자 유형 Possible values,representType,판매자 인증 JWE 해석,1,✅ 핵심 UDS,"representType string 판매자 유형 Possible values: [DOMESTIC_PERSONAL, DOMESTIC_BUSINESS, OVERSEAS_PERSONAL, OVERSEAS_BUSINESS]"
판매자 창고 ID (string) 배송 속성이 SELLER,outboundLocationId,상품 일괄 수정,1,✅ 핵심 UDS,"outboundLocationId 판매자 창고 ID (string) 배송 속성이 SELLER_GURANTEE(N판매자배송), HOPE_SELLER_GUARANTEE(N희망일배송)인 경우 필수. 그 밖의 배송 속성에 입력된 판매자 창고 ID값은 무시됩니다. 판매자정보 > 판매자물류 > 판매자 창고 정보 조회 API에서 해당하는 deliveryType(배송 속성)의 창고 ID를 입력합니다."
판매자 특이 사항 (string),sellerCommentContent,그룹상품,1,✅ 핵심 UDS,sellerCommentContent 판매자 특이 사항 (string)
판매자 특이 사항 (string) 판매자 특이 사항이 있는,sellerCommentContent,그룹상품,3,✅ 핵심 UDS,sellerCommentContent 판매자 특이 사항 (string) 판매자 특이 사항이 있는 경우 입력합니다.
판매자 휴무일 목록,sellerHolidays,판매자 오늘출발 설정,2,✅ 핵심 UDS,sellerHolidays string[] 판매자 휴무일 목록
판매자 ID,sellerId,판매자 오늘출발 설정,1,✅ 핵심 UDS,sellerId string 설정 대상 계정 ID
팝업 시작 일시 (string,popupStartDate,상품 공지사항,4,✅ 핵심 UDS,popupStartDate 팝업 시작 일시 (string<date-time>) 공지사항 등록/수정 시: 입력한 시각의 00분으로 설정됩니다. 팝업 여부를 true로 설정 후 팝업 시작 일시 미입력 시 현재 시각의 00분으로 저장됩니다.(예: 2022-09-02 16:00:00) 공지사항 조회 시: KST 기준으로 출력됩니다. Example: 2023-04-18T14:25:05.145+09:00
팝업 여부 (boolean) 스토어의 팝업 여부를 나타냅니다,popup,상품 공지사항,4,✅ 핵심 UDS,"popup 팝업 여부 (boolean) 스토어의 팝업 여부를 나타냅니다. 단, 기존에 설정되어 있던 팝업 공지사항은 해제됩니다(1건만 등록 가능). 미입력 시 false로 저장됩니다."
팝업 종료 일시 (string,popupEndDate,상품 공지사항,4,✅ 핵심 UDS,popupEndDate 팝업 종료 일시 (string<date-time>) 공지사항 등록/수정 시: 입력한 시각의 59분으로 설정됩니다. 팝업 여부를 true로 설정 후 팝업 종료 일시 미입력 시 일주일 후 현재 시각의 59분으로 저장됩니다.(예: 2022-09-09 16:59:59) 공지사항 조회 시: KST 기준으로 출력됩니다. Example: 2023-04-18T14:25:05.146+09:00
페이지 번호,"page, pageNumber","SKU, 고객 문의 조회, 부가세 내역, 상품 검수, 상품 공지사항, 상품 목록, 상품 문의, 상품 배송 정보, 정산 내역, 주문 조회, 카탈로그, 판매자 주소록",17,✅ 핵심 UDS,page integer<int32> 페이지 번호 (1부터 시작). 최대 조회 가능 개수는 10만 건을 초과할 수 없습니다. Default value: 1 Example: 1 Possible values: >= 1
페이지 수,pv,마케팅 분석,5,✅ 핵심 UDS,pv number<double> 페이지 수
페이지 크기,"pageSize, size","SKU, 고객 문의 조회, 부가세 내역, 상품 검수, 상품 공지사항, 상품 문의, 상품 배송 정보, 정산 내역, 주문 조회, 카탈로그",14,✅ 핵심 UDS,size number NULLABLE 페이지 크기. 페이지당 최대 500건까지 조회할 수 있습니다. 최대 조회 가능 개수는 10만 건을 초과할 수 없습니다. Possible values: >= 1 and <= 500
페이지 크기 (1-500),size,SKU,1,✅ 핵심 UDS,size integer<int32> 페이지 크기 (1-500). 최대 조회 가능 개수는 10만 건을 초과할 수 없습니다. Default value: 50 Example: 50
페이지 크기 (integer,size,"상품 목록, 상품 배송 정보, 카탈로그",4,✅ 핵심 UDS,size 페이지 크기 (integer<int32>) 페이지당 최대 500건까지 조회할 수 있습니다. Default value: 50
페이지 크기 Possible values,size,SKU,1,✅ 핵심 UDS,size integer<int32> REQUIRED 페이지 크기 Possible values: >= 0
페이지 URL,url,쇼핑행동 분석,1,✅ 핵심 UDS,url string 페이지 URL
페이지별 행동 항목 목록 Array,rows,쇼핑행동 분석,1,✅ 핵심 UDS,rows PageActionReportRow (object)[] 페이지별 행동 항목 목록 Array [ pv number<double> 유입 고객 수 timeOnPage number<double> 체류 시간(ms) url string 페이지 URL ]
포토/동영상 리뷰 포인트 (integer,photoVideoReviewPoint,상품 목록,1,✅ 핵심 UDS,photoVideoReviewPoint 포토/동영상 리뷰 포인트 (integer<int64>)
포함 여부,hasLocation,판매자 주소록,2,✅ 핵심 UDS,hasLocation boolean Location 포함 여부
표준형 옵션 (object),optionStandards,상품,1,✅ 핵심 UDS,optionStandards 표준형 옵션 (object)[]
표준형 옵션 그룹 (object),standardOptionCategoryGroups,옵션,1,✅ 핵심 UDS,"standardOptionCategoryGroups 표준형 옵션 그룹 (object)[] Array [ attributeId 속성 ID (integer<int64>) attributeName 옵션명 (string) REQUIRED 옵션 속성명(예: 색상, 사이즈(공통), 사이즈(미국)) groupName 옵션 그룹명 (string) (예: 사이즈, 색상) imageRegistrationUsable 이미지 등록 가능 여부 (boolean) REQUIRED realValueUsable value 수정 가능 여부 (boolean) REQUIRED optionSetRequired 표준형 옵션 세트 필수 여부 (boolean) REQUIRED standardOptionAttributes 카테고리별 표준형 옵션 상세 속성 (object)[] Array [ attributeId 속성 ID (integer<int64>) REQUIRED attributeValueId 속성값 ID (integer<i"
표준형 옵션 사용 여부 (boolean),useStandardOption,옵션,1,✅ 핵심 UDS,useStandardOption 표준형 옵션 사용 여부 (boolean)
표준형 옵션 세트 필수 여부 (boolean) REQUIRE,optionSetRequired,옵션,1,✅ 핵심 UDS,optionSetRequired 표준형 옵션 세트 필수 여부 (boolean) REQUIRED
표준형 옵션에서 사용할 이미지 URL (string),imageUrls,옵션,1,✅ 핵심 UDS,imageUrls 표준형 옵션에서 사용할 이미지 URL (string)[]
풀필먼트 배송여부 값 설명 비고 null 풀필먼트,fulfillment,주문 조회,1,✅ 핵심 UDS,fulfillment boolean 풀필먼트 배송여부 값 설명 비고 null 풀필먼트 설정된 상품 여부를 구분하지 않고 상품주문 상세내역을 조회합니다. false 풀필먼트 설정이 되지 않은 상품의 상품주문 상세내역을 조회합니다. true 풀필먼트 설정된 상품의 상품주문 상세내역을 조회합니다. Example: true
플레이스홀더 문구 정보 (string) 판매 옵션별로 판매,placeHolder,판매 옵션,1,✅ 핵심 UDS,placeHolder 플레이스홀더 문구 정보 (string) 판매 옵션별로 판매 옵션값 입력 창에 표시되는 문구입니다.
한 페이지 당 항목 수 Possible values,size,SKU,1,✅ 핵심 UDS,size integer<int32> REQUIRED 한 페이지 당 항목 수 Possible values: >= 0
한도 보류/해제 금액 (number) NULLABLE 한도,settlementLimitAmount,정산 내역,1,✅ 핵심 UDS,settlementLimitAmount 한도 보류/해제 금액 (number) NULLABLE 한도 보류/해제 금액
할인 혜택 (object),discountMethod,"상품, 상품 일괄 수정",3,✅ 핵심 UDS,discountMethod 할인 혜택 (object)
할인가 (integer,discountedPrice,상품 목록,1,✅ 핵심 UDS,discountedPrice 할인가 (integer<int64>) Possible values: <= 999999990
해외 주소 여부,overseasAddress,판매자 주소록,2,✅ 핵심 UDS,overseasAddress boolean 해외 주소 여부
해지/취소일,endDate,솔루션 사용 API,2,✅ 핵심 UDS,endDate string<date-time> 해지/취소일 Example: 2023-08-18T00:00:00.000+09:00
헤택 금액 (number) REQUIRED 혜택 정산 금액,benefitSettleAmount,정산 내역,1,✅ 핵심 UDS,benefitSettleAmount 헤택 금액 (number) REQUIRED 혜택 정산 금액
현금영수증 발행 제외 금액 (number) REQUIRED,cashExclusionIssuanceAmount,부가세 내역,2,✅ 핵심 UDS,cashExclusionIssuanceAmount 현금영수증 발행 제외 금액 (number) REQUIRED 현금영수증 발행 제외 금액
현금영수증 소득공제 금액 (number) REQUIRED 현,cashInComeDeductionAmount,부가세 내역,2,✅ 핵심 UDS,cashInComeDeductionAmount 현금영수증 소득공제 금액 (number) REQUIRED 현금영수증 소득공제 금액
현금영수증 지출 증빙 금액 (number) REQUIRED,cashOutGoingEvidenceAmount,부가세 내역,2,✅ 핵심 UDS,cashOutGoingEvidenceAmount 현금영수증 지출 증빙 금액 (number) REQUIRED 현금영수증 지출 증빙 금액
현재 회차 (integer,round,외부 개발사 자체 결제,1,✅ 핵심 UDS,round 현재 회차 (integer<int32>) 현재 회차
현재 회차 시작일 (string,roundStartDate,외부 개발사 자체 결제,1,✅ 핵심 UDS,roundStartDate 현재 회차 시작일 (string<date-time>) 현재 회차 시작일 Example: 2024-08-21T10:00:00.001+09:00
현재 회차 종료일 (string,roundEndDate,외부 개발사 자체 결제,1,✅ 핵심 UDS,roundEndDate 현재 회차 종료일 (string<date-time>) 현재 회차 종료일 Example: 2024-08-22T10:00:00.001+09:00
혜택 정산 금액 (number) NULLABLE 혜택 정산,benefitSettleAmount,정산 내역,1,✅ 핵심 UDS,benefitSettleAmount 혜택 정산 금액 (number) NULLABLE 혜택 정산 금액
환불 건수,refundNumPurchases,판매 분석,2,✅ 핵심 UDS,refundNumPurchases number<double> 환불 건수
환불 금액,refundPayAmount,판매 분석,2,✅ 핵심 UDS,refundPayAmount number<double> 환불 금액
환불 수량,refundProductQuantity,판매 분석,2,✅ 핵심 UDS,refundProductQuantity number<double> 환불 수량
환불 유형,refundType,솔루션 사용 API,1,✅ 핵심 UDS,refundType string 환불 유형. 일할 계산된 금액 대신 솔루션 개발사가 직접 입력한 금액을 환불하는 경우에만 PARTIAL을 설정합니다. Possible values: [PARTIAL]
환불금액,refundAmount,솔루션 사용 API,1,✅ 핵심 UDS,refundAmount number 총 환불 금액 Example: 10000
회 최대 구매 수량 (integer,maxPurchaseQuantityPerOrder,상품 일괄 수정,1,✅ 핵심 UDS,maxPurchaseQuantityPerOrder 1회 최대 구매 수량 (integer<int32>) Possible values: <= 10000
회차 순번,round,판매자 인증 JWE 해석,1,✅ 핵심 UDS,round integer<int32> 회차 순번 Example: 1
회차 시작일,roundStartDate,판매자 인증 JWE 해석,1,✅ 핵심 UDS,roundStartDate string<date-time> 회차 시작일
회차 정보 round integer,round,판매자 인증 JWE 해석,1,✅ 핵심 UDS,round RoundDto.merchant (object) 회차 정보 round integer<int32> 회차 순번 Example: 1 roundStartDate string<date-time> 회차 시작일 roundEndDate string<date-time> 회차 종료일
회차 종료일,roundEndDate,판매자 인증 JWE 해석,1,✅ 핵심 UDS,roundEndDate string<date-time> 회차 종료일
휴무 요일 MONDAY,holidayOfTheWeek,판매자 오늘출발 설정,2,✅ 핵심 UDS,"holidayOfTheWeek WeekDayType.sellers (string) 휴무 요일 MONDAY: 월요일 TUESDAY: 화요일 WEDNESDAY: 수요일 THURSDAY: 목요일 FRIDAY: 금요일 Possible values: [SUNDAY, MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SATURDAY]"
희망일배송 그룹 번호 (integer,hopeDeliveryGroupId,상품 일괄 수정,1,✅ 핵심 UDS,hopeDeliveryGroupId 희망일배송 그룹 번호 (integer<int64>) 배송 속성 타입 코드가 희망일배송이고 희망일배송 그룹 번호가 Null이면 기본 그룹으로 저장됩니다.
희망일배송 그룹 정보 구조체 (object) 희망일배송 그룹,hopeDeliveryGroup,상품 배송 정보,1,✅ 핵심 UDS,"hopeDeliveryGroup 희망일배송 그룹 정보 구조체 (object) 희망일배송 그룹 이 구조체는 상품의 배송 정보 중 희망일배송 그룹 정보 데이터를 표현하는 구조체입니다. 희망일배송 그룹 정보는 희망일배송 설정 상품에만 적용 가능하며 희망일배송 설정은 일부 판매자에 한하여 지정 조건에서만 설정이 가능합니다. 이 구조체는 API 호출에 대한 요청/응답 모두에서 사용합니다. 구조체의 객체 1개는 희망일배송 그룹 1개를 표현합니다. 이 구조체는 아래 API에서 사용합니다. 희망일배송 그룹 다건 조회, 희망일배송 그룹 등록, 희망일배송 그룹 단건 조회, 희망일배송 그룹 수정 이 구조체는 상품의 배송 정보 중 희망일배송 그룹 정보 데이터를 표현하는 구조체입니다. 희망일배송 그룹 정보는 희망일배송 설정 상품에만 적용 가능하며 희망일배송 설정은 일부 판매자에 한하여 지정 조건에서만 설정이 가능합니다. 이 구조체는 API 호출에 대한 요청/응답 모두에서 사용합니다. 구조체의 객체 1개는 "
희망일배송 그룹 정보 구조체 (object) REQUIRED,hopeDeliveryGroup,상품 배송 정보,2,✅ 핵심 UDS,"hopeDeliveryGroup 희망일배송 그룹 정보 구조체 (object) REQUIRED 희망일배송 그룹 이 구조체는 상품의 배송 정보 중 희망일배송 그룹 정보 데이터를 표현하는 구조체입니다. 희망일배송 그룹 정보는 희망일배송 설정 상품에만 적용 가능하며 희망일배송 설정은 일부 판매자에 한하여 지정 조건에서만 설정이 가능합니다. 이 구조체는 API 호출에 대한 요청/응답 모두에서 사용합니다. 구조체의 객체 1개는 희망일배송 그룹 1개를 표현합니다. 이 구조체는 아래 API에서 사용합니다. 희망일배송 그룹 다건 조회, 희망일배송 그룹 등록, 희망일배송 그룹 단건 조회, 희망일배송 그룹 수정 이 구조체는 상품의 배송 정보 중 희망일배송 그룹 정보 데이터를 표현하는 구조체입니다. 희망일배송 그룹 정보는 희망일배송 설정 상품에만 적용 가능하며 희망일배송 설정은 일부 판매자에 한하여 지정 조건에서만 설정이 가능합니다. 이 구조체는 API 호출에 대한 요청/응답 모두에서 사용합니다. 구조체"
희망일배송 그룹 ID,hopeDeliveryGroupId,상품 배송 정보,1,✅ 핵심 UDS,hopeDeliveryGroupId integer<int64> REQUIRED 희망일배송 그룹 ID
희망일배송 그룹 ID (integer,id,상품 배송 정보,5,✅ 핵심 UDS,id 희망일배송 그룹 ID (integer<int64>)
accountNo,accountNo,고객 데이터,1,✅ 핵심 UDS,accountNo integer<int64> REQUIRED
channelNo,channelNo,"고객 데이터, 마케팅 분석, 쇼핑행동 분석, 실시간 분석, 판매 분석",21,✅ 핵심 UDS,channelNo string REQUIRED 조회 채널 번호
debugMessage,debugMessage,고객 데이터,3,✅ 핵심 UDS,debugMessagestringrequired
deliveryBundleGroupId,deliveryBundleGroupId,상품 배송 정보,1,✅ 핵심 UDS,deliveryBundleGroupId integer<int64> REQUIRED
detailAttribute,detailAttribute,상품,7,✅ 핵심 UDS,detailAttribute 조회용 원상품 상세 속성 (object) REQUIRED
early20s,early20s,고객 데이터,2,✅ 핵심 UDS,early20s early20sPurchaseSchema.data-insight (object)
early30s,early30s,고객 데이터,2,✅ 핵심 UDS,early30s early30sPurchaseSchema.data-insight (object)
early40s,early40s,고객 데이터,2,✅ 핵심 UDS,early40s early40sPurchaseSchema.data-insight (object)
early50s,early50s,고객 데이터,2,✅ 핵심 UDS,early50s early50sPurchaseSchema.data-insight (object)
empty,empty,고객 문의 조회,1,✅ 핵심 UDS,empty boolean
endDate,endDate,"고객 데이터, 마케팅 분석, 쇼핑행동 분석, 판매 분석",22,✅ 핵심 UDS,endDate string<yyyy-MM-dd> REQUIRED 조회 종료일. 최소 1일 전. Example: 2023-01-01
fields,fields,"상품 공지사항, 상품 문의",2,✅ 핵심 UDS,fields PagedResultSortOrder.contents (object)[]
first,first,"고객 문의 조회, 상품 검수, 상품 공지사항, 상품 문의",4,✅ 핵심 UDS,first boolean
groupProductNo,groupProductNo,그룹상품,2,✅ 핵심 UDS,groupProductNo integer<int64> REQUIRED
hopeDeliveryGroupId,hopeDeliveryGroupId,상품 배송 정보,1,✅ 핵심 UDS,hopeDeliveryGroupId integer<int64> REQUIRED
id,id,"상품 배송 정보, 솔루션 사용 API",3,✅ 핵심 UDS,id ID (integer<int64>)
invalidInputs,invalidInputs,"고객 데이터, 상품 공지사항, 상품 문의",11,✅ 핵심 UDS,invalidInputs GWInvalidDetail.data-insight (object)[]requiredArray [namestringrequiredmessagestringrequiredtypestringrequired]
knowledgeShoppingProductRegistration,knowledgeShoppingProductRegistration,상품 목록,1,✅ 핵심 UDS,knowledgeShoppingProductRegistration 네이버쇼핑 등록 (boolean)
last,last,"고객 문의 조회, 상품 검수, 상품 공지사항, 상품 문의",4,✅ 핵심 UDS,last boolean
lastChangedTo,lastChangedTo,주문 조회,1,✅ 핵심 UDS,lastChangedTo string<date-time> 조회 종료 일시(inclusive). 생략 시 lastChangedFrom으로부터 24시간 후로 자동 지정됩니다.
late20s,late20s,고객 데이터,2,✅ 핵심 UDS,late20s late20sPurchaseSchema.data-insight (object)
late30s,late30s,고객 데이터,2,✅ 핵심 UDS,late30s late30sPurchaseSchema.data-insight (object)
late40s,late40s,고객 데이터,2,✅ 핵심 UDS,late40s late40sPurchaseSchema.data-insight (object)
late50s,late50s,고객 데이터,2,✅ 핵심 UDS,late50s late50sPurchaseSchema.data-insight (object)
modelOptionYn,modelOptionYn,판매 옵션,1,✅ 핵심 UDS,"modelOptionYn 네이버 가격비교 서비스 노출 기준 (boolean) REQUIRED 네이버 가격비교 서비스 노출 기준이 되는 판매 옵션 여부를 표시합니다. 예를 들어, optionName이 '용량'인 판매 옵션의 modelOptionYn 값이 True이면, 그룹 내 상품이 용량 값을 기준으로 묶여 가격비교 서비스에 노출됩니다. 이 값이 True인 판매 옵션이 존재하지 않으면, 묶음 없이 그룹상품 단위 그대로 노출됩니다."
naverShoppingRegistration,naverShoppingRegistration,상품,8,✅ 핵심 UDS,naverShoppingRegistration 네이버 쇼핑 등록 여부 (boolean) REQUIRED 네이버 쇼핑 광고주가 아닌 경우에는 false로 저장됩니다.
number,number,고객 문의 조회,1,✅ 핵심 UDS,number integer<int32>
numberOfElements,numberOfElements,고객 문의 조회,1,✅ 핵심 UDS,numberOfElements integer<int32>
object,object,"판매자, 판매자 오늘출발 설정, 판매자 주소록",6,✅ 핵심 UDS,objectobject
offset,offset,고객 문의 조회,1,✅ 핵심 UDS,offset integer<int64>
pageable,pageable,고객 문의 조회,1,✅ 핵심 UDS,pageable PageableObject.pay-user (object) pageNumber integer<int32> pageSize integer<int32> sort SortObject.pay-user (object) paged boolean unpaged boolean offset integer<int64>
paged,paged,고객 문의 조회,1,✅ 핵심 UDS,paged boolean
pageNumber,pageNumber,고객 문의 조회,1,✅ 핵심 UDS,pageNumber integer<int32>
pagination,pagination,"부가세 내역, 정산 내역",5,✅ 핵심 UDS,pagination Pagination.pay-settle (object) REQUIRED page integer<int32> size integer<int32> totalPages integer<int32> totalElements integer<int64>
periodType,periodType,정산 내역,2,✅ 핵심 UDS,"periodType string 조회 기간 기준 SETTLE_CASEBYCASE_SETTLE_SCHEDULE_DATE(정산 예정일) SETTLE_CASEBYCASE_SETTLE_BASIS_DATE(정산 기준일) SETTLE_CASEBYCASE_SETTLE_COMPLETE_DATE(정산 완료일) SETTLE_CASEBYCASE_PAY_DATE(결제일) SETTLE_CASEBYCASE_TAXRETURN_BASIS_DATE(세금 신고 기준일) Possible values: [SETTLE_CASEBYCASE_SETTLE_SCHEDULE_DATE, SETTLE_CASEBYCASE_SETTLE_BASIS_DATE, SETTLE_CASEBYCASE_SETTLE_COMPLETE_DATE, SETTLE_CASEBYCASE_PAY_DATE, SETTLE_CASEBYCASE_TAXRETURN_BASIS_DATE]"
purchaseCustomerCount,purchaseCustomerCount,고객 데이터,1,✅ 핵심 UDS,purchaseCustomerCount integer<int64> REQUIRED
purchaseCustomerRatio,purchaseCustomerRatio,고객 데이터,1,✅ 핵심 UDS,purchaseCustomerRatio number<double> REQUIRED
reason,reason,판매자 오늘출발 설정,2,✅ 핵심 UDS,reason string REQUIRED 설정 사유
repurchaseCustomerCount,repurchaseCustomerCount,고객 데이터,1,✅ 핵심 UDS,repurchaseCustomerCount integer<int64> REQUIRED
repurchaseCustomerRatio,repurchaseCustomerRatio,고객 데이터,1,✅ 핵심 UDS,repurchaseCustomerRatio number<double> REQUIRED
requestId,requestId,그룹상품,1,✅ 핵심 UDS,"requestId string 조회할 요청 ID requestId를 입력한 경우, 요청 type과 무관하게 requestId의 작업 결과가 조회됩니다.(1일간 보관) requestId를 입력하지 않은 경우, 가장 최근의 작업 결과가 조회됩니다.(5분간 보관)"
searchDate,searchDate,정산 내역,2,✅ 핵심 UDS,searchDate string<date> 조회일 Example: 2022-01-01
senior,senior,고객 데이터,2,✅ 핵심 UDS,senior seniorPurchaseSchema.data-insight (object)
size,size,"고객 문의 조회, 부가세 내역, 상품 검수, 상품 공지사항, 상품 문의, 정산 내역",9,✅ 핵심 UDS,size integer<int32>
sort,sort,"고객 문의 조회, 상품 공지사항, 상품 문의, 판매 분석",4,✅ 핵심 UDS,"sort string sort Possible values: [numPurchase, payAmount, productQuantity, refundNumPurchase, refundPayAmount, refundProductQuantity]"
sorted,sorted,"고객 문의 조회, 상품 공지사항, 상품 문의",3,✅ 핵심 UDS,sorted boolean
startDate,startDate,"고객 데이터, 마케팅 분석, 쇼핑행동 분석, 판매 분석",22,✅ 핵심 UDS,startDate string<yyyy-MM-dd> REQUIRED 조회 시작일. 최대 18개월 전. Example: 2023-01-01
string,string,고객 문의 조회,1,✅ 핵심 UDS,stringstring
teenage,teenage,고객 데이터,2,✅ 핵심 UDS,teenage teenagePurchaseSchema.data-insight (object)
token,token,"솔루션 사용 API, 판매자 인증 JWE 해석",2,✅ 핵심 UDS,token string REQUIRED
tooltip,tooltip,판매 옵션,1,✅ 핵심 UDS,"tooltip 입력 가이드 문구 정보 (string) 판매 옵션별 툴팁, 도움말 등에 표시되는 문구입니다."
totalElements,totalElements,"고객 문의 조회, 부가세 내역, 상품 검수, 상품 공지사항, 상품 문의, 정산 내역",9,✅ 핵심 UDS,totalElements integer<int64>
totalPages,totalPages,"고객 문의 조회, 부가세 내역, 상품 검수, 상품 공지사항, 상품 문의, 정산 내역",9,✅ 핵심 UDS,totalPages integer<int32>
transactionType,transactionType,비즈월렛 결제 내역 조회,1,✅ 핵심 UDS,"transactionType string Possible values: [FREE_TRIAL, PAYMENT, UPGRADE, DOWNGRADE, REFUND]"
type,type,"고객 데이터, 그룹상품, 브랜드, 사이즈, 상품, 상품 검수, 상품 공지사항, 상품 공지사항 적용, 상품 목록, 상품 문의, 상품 배송 정보, 상품 속성, 상품 원산지 정보, 상품 이미지, 상품 일괄 수정, 상품정보제공고시, 솔루션 사용 API, 옵션, 제조사, 카탈로그, 카테고리, 태그, 판매 옵션, 패션모델",71,✅ 핵심 UDS,"type string Possible values: [UNSUBSCRIPTION, DOWNGRADE]"
unpaged,unpaged,고객 문의 조회,1,✅ 핵심 UDS,unpaged boolean
unsorted,unsorted,고객 문의 조회,1,✅ 핵심 UDS,unsorted boolean
가로 길이 (cm),pieceWidth,SKU,1,🟡 후보,pieceWidth number NULLABLE SKU 가로 길이 (cm).
검색 기간 시작일,fromDate,SKU,1,🟡 후보,fromDate string NULLABLE 검색 기간 시작일. 'yyyy-mm-dd' 형식으로 입력.
검색 기간 유형,periodType,SKU,1,🟡 후보,"periodType string NULLABLE 검색 기간 유형. 조회하고자 하는 날짜 기준 SKU_REG_DAY 선택 시, SKU 등록일을 입력합니다. SKU_MOD_DAY 선택 시, SKU 수정일을 입력합니다."
검색 기간 종료일,toDate,SKU,1,🟡 후보,toDate string NULLABLE 검색 기간 종료일. 'yyyy-mm-dd' 형식으로 입력.
검색 채널 키워드 항목 Array,rows,마케팅 분석,1,🟡 후보,rows SearchChannelKeywordReportRow (object)[] 검색 채널 키워드 항목 Array [ numInteractions number<double> 유입 수 numPurchases number<double> 결제 수 payAmount number<double> 결제 금액 refKeyword string 키워드 ]
검색 채널 항목 Array,rows,마케팅 분석,1,🟡 후보,rows SearchChannelReportRow (object)[] 검색 채널 항목 Array [ channelGroup string 채널 그룹 channelName string 채널명 deviceCategory string 채널 속성 numInteractions number<double> 유입 수 numPurchases number<double> 결제 수 numUsers number<double> 유입 고객 수 payAmount number<double> 결제 금액 pv number<double> 페이지 수 refKeyword string 키워드 ]
검색 키워드 타입,searchKeywordType,SKU,1,🟡 후보,"searchKeywordType string NULLABLE 검색 키워드 타입. 조회하고자 하는 검색 키워드 NS_ID 선택 시, SKU ID를 입력합니다. BARCODE 선택 시, 바코드를 입력합니다."
높이 (cm),pieceHeight,SKU,1,🟡 후보,pieceHeight number NULLABLE SKU 높이 (cm).
대카테고리,largeCategory,판매 분석,1,🟡 후보,largeCategory string 대카테고리
로트번호 관리 여부,lotNoManagement,SKU,2,🟡 후보,lotNoManagement boolean NULLABLE SKU 로트번호 관리 여부.
리프 카테고리 여부 (boolean) REQUIRED,last,카테고리,3,🟡 후보,last 리프 카테고리 여부 (boolean) REQUIRED
리프 카테고리만,last,카테고리,1,🟡 후보,last boolean 리프 카테고리만 조회 여부 Default value: false
